"measuredItemCPC","qty_unit","value_unit"
"0111","t","1000 $"
"0112","t","1000 $"
"0113","t","1000 $"
"0114","t","1000 $"
"0115","t","1000 $"
"0116","t","1000 $"
"0117","t","1000 $"
"0118","t","1000 $"
"01191","t","1000 $"
"01192","t","1000 $"
"01193","t","1000 $"
"01194","t","1000 $"
"01195","t","1000 $"
"01199.02","t","1000 $"
"01199.90","t","1000 $"
"01211","t","1000 $"
"01212","t","1000 $"
"01213","t","1000 $"
"01214","t","1000 $"
"01215","t","1000 $"
"01216","t","1000 $"
"01219.01","t","1000 $"
"01221","t","1000 $"
"01229","t","1000 $"
"01231","t","1000 $"
"01232","t","1000 $"
"01233","t","1000 $"
"01234","t","1000 $"
"01235","t","1000 $"
"01239.01","t","1000 $"
"01241.01","t","1000 $"
"01241.90","t","1000 $"
"01242","t","1000 $"
"01243","t","1000 $"
"01251","t","1000 $"
"01252","t","1000 $"
"01253.01","t","1000 $"
"01253.02","t","1000 $"
"01254","t","1000 $"
"01270","t","1000 $"
"01290.01","t","1000 $"
"01290.90","t","1000 $"
"01311","t","1000 $"
"01312","t","1000 $"
"01313","t","1000 $"
"01314","t","1000 $"
"01315","t","1000 $"
"01316","t","1000 $"
"01317","t","1000 $"
"01318","t","1000 $"
"01319","t","1000 $"
"01321","t","1000 $"
"01322","t","1000 $"
"01323","t","1000 $"
"01324","t","1000 $"
"01329","t","1000 $"
"01330","t","1000 $"
"01341","t","1000 $"
"01342.01","t","1000 $"
"01342.02","t","1000 $"
"01343","t","1000 $"
"01344.01","t","1000 $"
"01344.02","t","1000 $"
"01345","t","1000 $"
"01346","t","1000 $"
"01349.20","t","1000 $"
"01351.01","t","1000 $"
"01351.02","t","1000 $"
"01352","t","1000 $"
"01353.01","t","1000 $"
"01354","t","1000 $"
"01355.01","t","1000 $"
"01355.02","t","1000 $"
"01355.90","t","1000 $"
"01356","t","1000 $"
"01359.01","t","1000 $"
"01359.90","t","1000 $"
"01371","t","1000 $"
"01372","t","1000 $"
"01373","t","1000 $"
"01374","t","1000 $"
"01375","t","1000 $"
"01376","t","1000 $"
"01377","t","1000 $"
"01379.01","t","1000 $"
"01379.02","t","1000 $"
"01379.90","t","1000 $"
"0141","t","1000 $"
"0142","t","1000 $"
"0143","t","1000 $"
"01441","t","1000 $"
"01442","t","1000 $"
"01443","t","1000 $"
"01444","t","1000 $"
"01445","t","1000 $"
"01446","t","1000 $"
"01447","t","1000 $"
"01448","t","1000 $"
"01449.01","t","1000 $"
"01449.02","t","1000 $"
"01449.90","t","1000 $"
"01450","t","1000 $"
"01460","t","1000 $"
"01491.02","t","1000 $"
"01492","t","1000 $"
"01499.01","t","1000 $"
"01499.02","t","1000 $"
"01499.06","t","1000 $"
"01510","t","1000 $"
"01520.02","t","1000 $"
"01530","t","1000 $"
"01540","t","1000 $"
"01550","t","1000 $"
"01591","t","1000 $"
"01599.10","t","1000 $"
"01599.20","t","1000 $"
"01610","t","1000 $"
"01620","t","1000 $"
"01630","t","1000 $"
"01640","t","1000 $"
"01651","t","1000 $"
"01652","t","1000 $"
"01653","t","1000 $"
"01654","t","1000 $"
"01655","t","1000 $"
"01656","t","1000 $"
"01657","t","1000 $"
"01658","t","1000 $"
"01659","t","1000 $"
"01691","t","1000 $"
"01699","t","1000 $"
"01701","t","1000 $"
"01702","t","1000 $"
"01703","t","1000 $"
"01704","t","1000 $"
"01705","t","1000 $"
"01706","t","1000 $"
"01707","t","1000 $"
"01708","t","1000 $"
"01709.01","t","1000 $"
"01709.02","t","1000 $"
"01709.90","t","1000 $"
"01801","t","1000 $"
"01802","t","1000 $"
"01809","t","1000 $"
"01911","t","1000 $"
"01912","t","1000 $"
"01913","t","1000 $"
"01919.06","t","1000 $"
"01919.08","t","1000 $"
"01919.09","t","1000 $"
"01919.11","t","1000 $"
"01919.95","t","1000 $"
"01919.96","t","1000 $"
"01921.02","t","1000 $"
"01922.01","t","1000 $"
"01922.02","t","1000 $"
"01929.01","t","1000 $"
"01929.02","t","1000 $"
"01929.03","t","1000 $"
"01929.04","t","1000 $"
"01929.05","t","1000 $"
"01929.06","t","1000 $"
"01929.07","t","1000 $"
"01929.08","t","1000 $"
"01929.90","t","1000 $"
"01930.01","t","1000 $"
"01930.02","t","1000 $"
"01930.04","t","1000 $"
"01950.01","t","1000 $"
"01950.02","t","1000 $"
"01970","t","1000 $"
"01990.01","t","1000 $"
"02111","head","1000 $"
"02112","head","1000 $"
"02121.01","head","1000 $"
"02121.02","head","1000 $"
"02122","head","1000 $"
"02123","head","1000 $"
"02131","head","1000 $"
"02132","head","1000 $"
"02133","head","1000 $"
"02140","head","1000 $"
"02151","1000 head","1000 $"
"02152","1000 head","1000 $"
"02153","1000 head","1000 $"
"02154","1000 head","1000 $"
"02191","1000 head","1000 $"
"02192.01","head","1000 $"
"02194","1000 head","1000 $"
"02199.10",NA,"1000 $"
"02199.20",NA,"1000 $"
"02211","t","1000 $"
"02292","t","1000 $"
"0231","t","1000 $"
"0232","t","1000 $"
"02910","t","1000 $"
"02920","t","1000 $"
"02941","t","1000 $"
"02942.02","t","1000 $"
"02942.90","t","1000 $"
"02943.01","t","1000 $"
"02943.02","t","1000 $"
"02944","t","1000 $"
"02951.04","t","1000 $"
"02951.05","t","1000 $"
"02951.06","t","1000 $"
"02951.07","t","1000 $"
"02951.08","t","1000 $"
"02951.09","t","1000 $"
"02951.91","t","1000 $"
"02951.92","t","1000 $"
"02952.04","t","1000 $"
"02952.05","t","1000 $"
"02952.91","t","1000 $"
"02953.01","t","1000 $"
"02953.03","t","1000 $"
"02953.04","t","1000 $"
"02953.90","t","1000 $"
"02954.01","t","1000 $"
"02954.02","t","1000 $"
"02954.90","t","1000 $"
"02955.01","t","1000 $"
"02955.02","t","1000 $"
"02955.90","t","1000 $"
"02959.03","t","1000 $"
"02959.04","t","1000 $"
"02959.05","t","1000 $"
"02959.20","t","1000 $"
"02959.30","t","1000 $"
"02959.99","t","1000 $"
"02960.01","t","1000 $"
"02960.02","t","1000 $"
"03211","t","1000 $"
"03219.01","t","1000 $"
"03219.90","t","1000 $"
"17400","t","1000 $"
"21111.01","t","1000 $"
"21111.02","t","1000 $"
"21112","t","1000 $"
"21113.01","t","1000 $"
"21113.02","t","1000 $"
"21114","t","1000 $"
"21115","t","1000 $"
"21116","t","1000 $"
"21117.01","t","1000 $"
"21117.02","t","1000 $"
"21118.01","t","1000 $"
"21121","t","1000 $"
"21122","t","1000 $"
"21123","t","1000 $"
"21124","t","1000 $"
"21151","t","1000 $"
"21152","t","1000 $"
"21153","t","1000 $"
"21155","t","1000 $"
"21156","t","1000 $"
"21159.01","t","1000 $"
"21160.01","t","1000 $"
"21160.02","t","1000 $"
"21160.03","t","1000 $"
"21160.04","t","1000 $"
"21170.01","t","1000 $"
"21170.02","t","1000 $"
"21170.92","t","1000 $"
"21170.93","t","1000 $"
"21181","t","1000 $"
"21182","t","1000 $"
"21183","t","1000 $"
"21184.01","t","1000 $"
"21184.02","t","1000 $"
"21185","t","1000 $"
"21189.01","t","1000 $"
"21189.02","t","1000 $"
"21190.01","t","1000 $"
"21291","t","1000 $"
"21313","t","1000 $"
"21319.01","t","1000 $"
"21321","t","1000 $"
"21329","t","1000 $"
"21330.90","t","1000 $"
"21340","t","1000 $"
"21392","t","1000 $"
"21393.01","t","1000 $"
"21393.90","t","1000 $"
"21397.01","t","1000 $"
"21399.01","t","1000 $"
"21399.02","t","1000 $"
"21399.03","t","1000 $"
"21411","t","1000 $"
"21412","t","1000 $"
"21419.01","t","1000 $"
"21419.02","t","1000 $"
"21419.91","t","1000 $"
"21419.99","t","1000 $"
"21421","t","1000 $"
"21422","t","1000 $"
"21423","t","1000 $"
"21424","t","1000 $"
"21429.01","t","1000 $"
"21429.02","t","1000 $"
"21429.07","t","1000 $"
"21431.01","t","1000 $"
"21431.02","t","1000 $"
"21432","t","1000 $"
"21432.01","t","1000 $"
"21433","t","1000 $"
"21433.01","t","1000 $"
"21434","t","1000 $"
"21435.01","t","1000 $"
"21435.02","t","1000 $"
"21439.01","t","1000 $"
"21439.02","t","1000 $"
"21439.03","t","1000 $"
"21439.04","t","1000 $"
"21439.05","t","1000 $"
"21439.08","t","1000 $"
"21439.9","t","1000 $"
"21491","t","1000 $"
"21495.01","t","1000 $"
"21495.02","t","1000 $"
"21499.01","t","1000 $"
"21511.01","t","1000 $"
"21511.02","t","1000 $"
"21511.03","t","1000 $"
"21512","t","1000 $"
"21512.01","t","1000 $"
"21514","t","1000 $"
"21515","t","1000 $"
"21519.02","t","1000 $"
"21521","t","1000 $"
"21522","t","1000 $"
"21523","t","1000 $"
"21529.02","t","1000 $"
"21529.03","t","1000 $"
"2161","t","1000 $"
"2162","t","1000 $"
"21631.01","t","1000 $"
"21631.02","t","1000 $"
"21641.01","t","1000 $"
"21641.02","t","1000 $"
"2165","t","1000 $"
"2166","t","1000 $"
"2167","t","1000 $"
"21673","t","1000 $"
"2168","t","1000 $"
"21691.01","t","1000 $"
"21691.02","t","1000 $"
"21691.03","t","1000 $"
"21691.04","t","1000 $"
"21691.05","t","1000 $"
"21691.06","t","1000 $"
"21691.07","t","1000 $"
"21691.11","t","1000 $"
"21691.12","t","1000 $"
"21691.14","t","1000 $"
"21691.90","t","1000 $"
"21693.02","t","1000 $"
"21700.01","t","1000 $"
"21700.02","t","1000 $"
"21800","t","1000 $"
"21910.01","t","1000 $"
"21910.02","t","1000 $"
"21910.03","t","1000 $"
"21910.04","t","1000 $"
"21910.05","t","1000 $"
"21910.06","t","1000 $"
"21910.07","t","1000 $"
"21910.08","t","1000 $"
"21910.09","t","1000 $"
"21910.10","t","1000 $"
"21910.11","t","1000 $"
"21910.12","t","1000 $"
"21910.14","t","1000 $"
"21910.15","t","1000 $"
"21910.16","t","1000 $"
"21910.90","t","1000 $"
"21920","t","1000 $"
"21931","t","1000 $"
"21932.01","t","1000 $"
"21932.02","t","1000 $"
"22110.01","t","1000 $"
"22110.02","t","1000 $"
"22120","t","1000 $"
"22130.01","t","1000 $"
"22130.02","t","1000 $"
"22130.03","t","1000 $"
"22211","t","1000 $"
"22212","t","1000 $"
"22221.01","t","1000 $"
"22221.02","t","1000 $"
"22222.01","t","1000 $"
"22222.02","t","1000 $"
"22230.01","t","1000 $"
"22230.02","t","1000 $"
"22230.03","t","1000 $"
"22230.04","t","1000 $"
"22241.01","t","1000 $"
"22241.02","t","1000 $"
"22249.01","t","1000 $"
"22249.02","t","1000 $"
"22251.01","t","1000 $"
"22251.02","t","1000 $"
"22251.03","t","1000 $"
"22251.04","t","1000 $"
"22253","t","1000 $"
"22254","t","1000 $"
"22260","t","1000 $"
"22270","t","1000 $"
"22290","t","1000 $"
"23110","t","1000 $"
"23120.01","t","1000 $"
"23120.02","t","1000 $"
"23120.03","t","1000 $"
"23120.04","t","1000 $"
"23120.05","t","1000 $"
"23120.06","t","1000 $"
"23120.07","t","1000 $"
"23120.09","t","1000 $"
"23120.10","t","1000 $"
"23120.90","t","1000 $"
"23140.01","t","1000 $"
"23140.02","t","1000 $"
"23140.03","t","1000 $"
"23140.04","t","1000 $"
"23140.05","t","1000 $"
"23140.06","t","1000 $"
"23140.07","t","1000 $"
"23140.08","t","1000 $"
"23161.01","t","1000 $"
"23161.02","t","1000 $"
"23161.03","t","1000 $"
"23162","t","1000 $"
"23170.01","t","1000 $"
"23170.02","t","1000 $"
"23170.03","t","1000 $"
"23170.04","t","1000 $"
"23180","t","1000 $"
"23210.01","t","1000 $"
"23210.02","t","1000 $"
"23210.03","t","1000 $"
"23210.04","t","1000 $"
"23210.05","t","1000 $"
"23210.06","t","1000 $"
"23210.08","t","1000 $"
"23220.01","t","1000 $"
"23220.02","t","1000 $"
"23220.03","t","1000 $"
"23220.04","t","1000 $"
"23220.05","t","1000 $"
"23220.06","t","1000 $"
"23230.01","t","1000 $"
"23230.02","t","1000 $"
"23311","t","1000 $"
"23319.01","t","1000 $"
"23319.02","t","1000 $"
"23319.03","t","1000 $"
"23319.04","t","1000 $"
"23319.06","t","1000 $"
"23319.08","t","1000 $"
"23319.09","t","1000 $"
"23320","t","1000 $"
"23490.01","t","1000 $"
"23511.02","t","1000 $"
"2351f","t","1000 $"
"23520","t","1000 $"
"23530","t","1000 $"
"23540","t","1000 $"
"23610.01","t","1000 $"
"23620","t","1000 $"
"23670.01","t","1000 $"
"23670.02","t","1000 $"
"23710","t","1000 $"
"23911","t","1000 $"
"23912.01","t","1000 $"
"23912.02","t","1000 $"
"23914","t","1000 $"
"23991.01","t","1000 $"
"23991.02","t","1000 $"
"23991.03","t","1000 $"
"23991.04","t","1000 $"
"23993.01","t","1000 $"
"23993.02","t","1000 $"
"23993.03","t","1000 $"
"23995.01","t","1000 $"
"23995.02","t","1000 $"
"23995.03","t","1000 $"
"23999.01","t","1000 $"
"23999.02","t","1000 $"
"23999.04","t","1000 $"
"24110","t","1000 $"
"2413","t","1000 $"
"24212.01","t","1000 $"
"24212.02","t","1000 $"
"24220","t","1000 $"
"24230.01","t","1000 $"
"24230.02","t","1000 $"
"24230.03","t","1000 $"
"24310.01","t","1000 $"
"24310.03","t","1000 $"
"24320","t","1000 $"
"24490","t","1000 $"
"25020.01","t","1000 $"
"25020.02","t","1000 $"
"25090","t","1000 $"
"26110","t","1000 $"
"26130","t","1000 $"
"26150.01","t","1000 $"
"26150.02","t","1000 $"
"26160","t","1000 $"
"26190.01","t","1000 $"
"26190.02","t","1000 $"
"34120","t","1000 $"
"34550","t","1000 $"
"35410.01","t","1000 $"
"35410.90","t","1000 $"
"39110.01","t","1000 $"
"39120.01","t","1000 $"
"39120.02","t","1000 $"
"39120.03","t","1000 $"
"39120.04","t","1000 $"
"39120.05","t","1000 $"
"39120.06","t","1000 $"
"39120.07","t","1000 $"
"39120.08","t","1000 $"
"39120.12","t","1000 $"
"39120.13","t","1000 $"
"39120.14","t","1000 $"
"39120.15","t","1000 $"
"39120.91","t","1000 $"
"39130.03","t","1000 $"
"39130.04","t","1000 $"
"39140.01","t","1000 $"
"39140.02","t","1000 $"
"39150.01","t","1000 $"
"39150.02","t","1000 $"
"39160","t","1000 $"
"39170.01","t","1000 $"
"39170.02","t","1000 $"
"39211","t","1000 $"
"39213","t","1000 $"
"F0020","t","1000 $"
"F0022","t","1000 $"
"F0235","t","1000 $"
"F0262","t","1000 $"
"F0472","t","1000 $"
"F0473","t","1000 $"
"F0475","t","1000 $"
"F0623","t","1000 $"
"F0665","t","1000 $"
"F0666","t","1000 $"
"F0769","t","1000 $"
"F0875","t","1000 $"
"F0994","t","1000 $"
"F1009","t","1000 $"
"F1042","t","1000 $"
"F1061","t","1000 $"
"F1172","t","1000 $"
"F1217","t","1000 $"
"F1223","t","1000 $"
"F1232","t","1000 $"
"F1243","t","1000 $"
"F1275","t","1000 $"
"F1293",NA,"1000 $"
"F1294","t","1000 $"
