"fcl","cpc"
20,"F0020"
22,"F0022"
235,"F0235"
262,"F0262"
472,"F0472"
473,"F0473"
475,"F0475"
623,"F0623"
665,"F0665"
666,"F0666"
769,"F0769"
875,"F0875"
994,"F0994"
1009,"F1009"
1042,"F1042"
1061,"F1061"
1172,"F1172"
1217,"F1217"
1223,"F1223"
1232,"F1232"
1243,"F1243"
1275,"F1275"
1293,"F1293"
1294,"F1294"
16,"23110"
38,"23120.01"
48,"23120.02"
51,"24310.01"
58,"23120.03"
66,"24310.02"
72,"23120.04"
80,"23120.05"
82,"24310.03"
84,"23120.06"
86,"24310.04"
90,"23120.07"
95,"23120.08"
98,"23120.09"
104,"23120.10"
111,"23120.90"
220,"01373"
223,"01375"
226,"01379.01"
234,"01379.90"
268,"21631.01"
271,"21641.01"
281,"21631.02"
293,"21641.02"
339,"01449.90"
1069,"21122"
1073,"21123"
463,"01290.90"
558,"01355.90"
564,"24212.02"
577,"01314"
603,"01319"
619,"01359.90"
631,"17400"
667,"01620"
687,"01651"
689,"01652"
692,"01658"
693,"01655"
698,"01656"
702,"01653"
711,"01654"
720,"01657"
777,"01929.02"
778,"01929.03"
780,"01922.01"
782,"01922.02"
788,"01929.04"
789,"01929.05"
800,"01929.06"
809,"01929.07"
813,"01929.08"
821,"01929.90"
826,"01970"
867,"21111.01"
870,"21111.02"
947,"21112"
977,"21115"
987,"02941"
1017,"21116"
1035,"21113.01"
1038,"21113.02"
1057,"02151"
1058,"21121"
96,"39120.10"
1080,"21124"
1097,"21118.01"
108,"01199.90"
1108,"21118.02"
1111,"21118.03"
1127,"21117.01"
1141,"21114"
1151,"21119.01"
1158,"21117.02"
1163,"21170.02"
1166,"21170.92"
1167,"21170.93"
1169,"02199.10"
1171,"02199.20"
15,"0111"
17,"39120.01"
18,"23710"
19,"23140.01"
21,"23140.02"
23,"23220.01"
24,"23220.02"
26,"24230.01"
27,"0113"
28,"23162"
29,"23161.01"
31,"23161.02"
32,"23161.03"
33,"39130.01"
34,"23220.03"
35,"39120.02"
36,"21691.01"
37,"21910.01"
39,"24230.02"
41,"23140.03"
44,"0115"
45,"23140.04"
46,"23140.05"
47,"39120.03"
49,"24320"
50,"23999.01"
56,"0112"
57,"23140.06"
59,"39120.04"
60,"21691.02"
61,"21910.02"
63,"39130.02"
64,"23220.04"
71,"0116"
73,"39120.05"
75,"0117"
76,"23140.07"
77,"39120.06"
79,"0118"
81,"39120.07"
83,"0114"
85,"39120.08"
89,"01192"
91,"39120.09"
92,"01194"
94,"01193"
97,"01191"
99,"39120.11"
101,"01195"
103,"01199.02"
105,"39120.12"
109,"23991.01"
110,"23490.01"
112,"39120.13"
113,"23140.08"
114,"23180"
115,"23999.02"
116,"01510"
117,"21392"
118,"21313"
119,"23220.05"
120,"39130.03"
121,"23230.01"
122,"01530"
125,"01520.01"
126,"23170.01"
127,"23230.02"
128,"01520.02"
129,"23220.06"
135,"01591"
136,"01550"
137,"01540"
149,"01599.10"
150,"23170.02"
151,"01599.20"
154,"23210.01"
155,"23210.02"
156,"01802"
157,"01801"
158,"23511.01"
159,"23512"
160,"23530"
161,"01809"
162,"2351f"
163,"23511.02"
164,"23520"
165,"23540"
166,"23210.03"
167,"23210.04"
168,"23670.01"
169,"39140.01"
170,"39140.02"
172,"23210.05"
173,"23210.06"
174,"23210.07"
175,"23210.08"
176,"01701"
181,"01702"
187,"01705"
191,"01703"
195,"01706"
197,"01707"
201,"01704"
203,"01708"
205,"01709.01"
210,"01709.02"
211,"01709.90"
212,"23170.03"
213,"39120.14"
216,"01377"
217,"01372"
221,"01371"
222,"01376"
224,"01379.02"
225,"01374"
229,"21429.01"
230,"21424"
231,"21422"
232,"21429.02"
233,"21423"
236,"0141"
237,"2161"
238,"21910.03"
239,"23995.01"
240,"23995.02"
241,"23999.03"
242,"0142"
243,"21421"
244,"2162"
245,"21910.04"
246,"21495.01"
247,"21495.02"
249,"01460"
250,"21429.07"
251,"01492"
252,"2166"
253,"21910.05"
254,"01491.01"
256,"01491.02"
257,"2165"
258,"21691.14"
259,"21910.06"
260,"01450"
261,"2167"
263,"01499.01"
264,"21691.03"
265,"01447"
266,"21691.04"
267,"01445"
269,"21910.07"
270,"01443"
272,"21910.08"
273,"21910.09"
274,"21673"
275,"01499.02"
276,"21691.05"
277,"01499.03"
278,"21691.06"
280,"01446"
282,"21910.10"
289,"01444"
290,"21691.07"
291,"21910.11"
292,"01442"
294,"21910.12"
295,"23995.03"
296,"01448"
297,"21691.08"
298,"21910.13"
299,"01449.01"
305,"01499.04"
306,"21691.09"
307,"21691.10"
310,"01499.05"
311,"01499.06"
312,"01499.07"
313,"21691.11"
314,"21910.14"
328,"01921.01"
329,"0143"
331,"2168"
332,"21910.15"
333,"01441"
334,"21691.12"
335,"21910.16"
336,"01449.02"
337,"21691.13"
338,"21910.17"
340,"21691.90"
341,"21910.90"
343,"21920"
358,"01212"
366,"01216"
367,"01211"
372,"01214"
373,"01215"
378,"01219.01"
388,"01234"
390,"21321"
391,"21399.01"
392,"21399.02"
393,"01213"
394,"01235"
397,"01232"
399,"01233"
401,"01231"
402,"01253.01"
403,"01253.02"
406,"01252"
407,"01254"
414,"01241.90"
417,"01242"
420,"01243"
423,"01241.01"
426,"01251"
430,"01239.01"
446,"01290.01"
447,"21319.01"
448,"21399.03"
449,"01270"
450,"21393.01"
451,"21397.01"
459,"01691"
460,"01990.01"
461,"01356"
466,"21329"
469,"21393.90"
471,"21340"
474,"21330.90"
476,"23991.02"
486,"01312"
489,"01313"
490,"01323"
491,"21431.01"
492,"21431.02"
495,"01324"
496,"21439.01"
497,"01322"
498,"21439.02"
499,"21439.03"
507,"01321"
509,"21432"
510,"21432.01"
512,"01329"
513,"21439.04"
514,"21439.05"
515,"01341"
517,"24230.03"
518,"21435.01"
519,"21435.02"
521,"01342.01"
523,"01342.02"
526,"01343"
527,"21419.01"
530,"01344.01"
531,"01344.02"
534,"01345"
536,"01346"
537,"21412"
538,"21439.06"
539,"21439.07"
541,"01349.20"
542,"01349.10"
544,"01354"
547,"01353.01"
549,"01351.02"
550,"01351.01"
552,"01355.01"
554,"01355.02"
560,"01330"
561,"21411"
562,"21434"
563,"24212.01"
565,"24220"
566,"39120.18"
567,"01221"
568,"01229"
569,"01315"
570,"21419.02"
571,"01316"
572,"01311"
574,"01318"
575,"21491"
576,"21433"
580,"21433.01"
583,"21439.08"
584,"21499.01"
587,"01359.01"
591,"01359.02"
592,"01352"
600,"01317"
604,"21419.91"
620,"21419.99"
622,"21439.9"
624,"23170.04"
625,"23670.02"
626,"23991.03"
628,"39120.15"
629,"39120.16"
630,"39120.17"
632,"24110"
633,"24490"
634,"2413"
635,"01913"
636,"01911"
637,"01919.01"
638,"01919.02"
639,"01919.91"
640,"01919.03"
641,"01912"
642,"01919.94"
643,"01919.92"
644,"01919.04"
645,"01919.93"
646,"01919.05"
647,"01919.06"
648,"01919.07"
649,"01919.08"
650,"39120.92"
651,"01919.96"
652,"39120.91"
653,"39170.01"
654,"39160"
655,"01919.95"
656,"01610"
657,"23911"
658,"23912.01"
659,"23912.02"
660,"39150.01"
661,"01640"
662,"23610.01"
663,"39150.02"
664,"23620"
671,"01630"
672,"23914"
674,"01930.04"
677,"01659"
723,"01699"
737,"35410.01"
748,"01930.01"
753,"35410.90"
754,"01930.02"
755,"23999.04"
756,"01930.03"
767,"01921.02"
768,"26160"
770,"21800"
771,"01929.01"
773,"26190.01"
774,"26190.02"
828,"25020.01"
829,"25020.02"
831,"25090"
836,"01950.01"
837,"01950.02"
839,"03211"
840,"23319.01"
841,"23319.02"
842,"23319.03"
843,"23311"
845,"23319.04"
846,"39130.04"
849,"23319.05"
850,"23319.06"
851,"23319.07"
852,"23319.08"
853,"23319.09"
854,"23319.10"
855,"23319.11"
857,"01919.09"
858,"01919.10"
859,"01919.11"
862,"23320"
866,"02111"
868,"21151"
869,"21512"
871,"21512.01"
872,"21182"
873,"21185"
874,"21184.01"
877,"23991.04"
882,"02211"
883,"22110.01"
885,"22120"
886,"22241.01"
887,"22241.02"
888,"22110.02"
889,"22222.01"
890,"22130.03"
891,"22230.01"
892,"22230.02"
893,"22230.03"
894,"22221.01"
895,"22221.02"
896,"22222.02"
897,"22211"
898,"22212"
899,"22230.04"
900,"22130.02"
901,"22251.01"
903,"22130.01"
904,"22251.02"
905,"22251.03"
907,"22251.04"
908,"22110.03"
909,"22290"
910,"22270"
916,"23993.01"
917,"22260"
919,"02951.01"
920,"02951.04"
921,"02951.05"
922,"02951.91"
927,"02951.02"
928,"02951.06"
929,"02951.07"
930,"02951.92"
944,"21111.01i"
945,"21111.01b"
946,"02112"
948,"21152"
949,"21513"
951,"02212"
952,"22242.01"
953,"22242.02"
954,"22110.04"
955,"22252"
957,"02951.03"
958,"02951.08"
959,"02951.09"
972,"21112i"
973,"21112b"
976,"02122"
978,"21155"
979,"21514"
982,"02291"
983,"22249.01"
984,"22253"
985,"22110.05"
988,"26130"
995,"02953"
996,"02953.03"
997,"02953.04"
998,"02953.90"
999,"02953.01"
1002,"02955.01"
878,"21189.01"
1007,"39213"
1008,"26150.01"
1010,"26150.02"
1012,"21115i"
1013,"21115b"
1016,"02123"
1018,"21156"
1019,"21515"
1020,"02292"
1021,"22254"
1022,"22249.02"
1023,"22110.06"
1025,"02954"
1026,"02954.01"
1027,"02954.02"
1028,"02954.90"
1030,"02943.01"
1031,"02942.02"
1032,"21116i"
1033,"21116b"
1034,"02140"
1036,"21153"
1037,"21511.01"
1039,"21181"
1040,"21511.02"
1041,"21184.02"
1043,"21521"
1044,"02959.01"
1045,"02959.03"
1046,"02959.04"
1047,"02959.05"
1055,"21113.01i"
1056,"21113.01b"
1059,"21160.01"
1062,"0231"
1063,"23993.02"
1064,"23993.03"
1065,"21511.03"
1066,"21522"
1068,"02154"
1070,"21122i"
1071,"21122b"
1072,"02153"
1074,"21160.02"
1075,"21160.03"
1077,"21123i"
1078,"21123b"
1079,"02152"
1081,"21160.04"
1083,"02194"
1084,"21170.01i"
1085,"21170.01b"
1087,"21124i"
1088,"21124b"
1089,"21170.01"
1091,"0232"
1094,"21121i"
1095,"21121b"
1096,"02131"
1098,"21159.01"
1100,"39110.01"
1102,"02952.01"
1103,"02952.04"
1104,"02952.05"
1105,"02952.91"
1107,"02132"
1109,"02952.02"
1110,"02133"
1112,"02952.03"
1120,"21118.01i"
1060,"21189.02"
1121,"21118.01b"
1122,"21118.02i"
1123,"21118.02b"
1124,"21118.03i"
1125,"21118.03b"
1126,"02121.01"
1128,"21159.02"
1129,"21519.02"
1130,"02293"
1133,"02959.02"
1134,"02959.06"
1135,"02959.07"
1136,"02959.08"
1137,"21117.01i"
1138,"21117.01b"
1140,"02191"
1144,"21114i"
1145,"21114b"
1146,"02955.02"
1150,"02192.01"
1154,"21119.01i"
1155,"21119.01b"
1157,"02121.02"
1160,"21519.03"
1161,"21117.02i"
1162,"21117.02b"
1164,"21183"
1168,"21529.03"
1173,"21190.01"
1174,"21291"
1175,"21190.02"
1176,"02920"
1181,"02196"
1182,"02910"
1183,"02960.01"
1185,"02944"
1186,"26110"
1187,"39211"
1195,"02955.90"
1213,"02959.91"
1214,"02959.20"
1215,"02959.30"
1216,"02959.99"
1218,"02943.02"
1219,"02942.90"
1221,"21529.02"
1222,"21932.01"
1225,"21523"
1241,"21700.01"
1242,"21700.02"
1259,"39170.02"
1273,"21693.02"
1274,"34550"
1276,"34120"
1277,"21932.02"
1291,"03219.01"
1292,"03219.90"
1295,"02960.02"
1296,"21931"
